Day,Preclose,Open,Highest,Lowest,Close
2023/8/14,3189.248,3159.7138,3180.5067,3141.6551,3178.4272
2023/8/15,3178.4272,3180.5579,3186.234,3147.3459,3176.1758
2023/8/16,3176.1758,3164.7019,3176.626,3149.7226,3150.1277
2023/8/17,3150.1277,3137.3514,3167.4457,3123.2495,3163.7393
2023/8/18,3163.7393,3165.0998,3179.1159,3131.953,3131.953
2023/8/21,3131.953,3125.9897,3134.9571,3092.9777,3092.9777
2023/8/22,3092.9777,3103.7807,3126.7838,3074.5307,3120.3338
2023/8/23,3120.3338,3116.2661,3116.3765,3077.6056,3078.4021
2023/8/24,3078.4021,3085.9107,3106.1824,3072.9511,3082.2439
2023/8/25,3082.2439,3068.615,3085.047,3053.0373,3064.0747
2023/8/28,3064.0747,3219.0432,3219.0432,3089.1194,3098.6363
2023/8/29,3098.6363,3091.9379,3145.761,3090.4377,3135.8867
2023/8/30,3135.8867,3144.4067,3153.689,3126.9024,3137.1375
2023/8/31,3137.1375,3134.5529,3139.9801,3113.9459,3119.8764
2023/9/1,3119.8764,3126.0234,3143.8457,3123.1896,3133.2467
2023/9/4,3133.2467,3145.9435,3177.0603,3143.3793,3177.0603
2023/9/5,3177.0603,3169.7384,3169.7384,3150.0753,3154.3693
2023/9/6,3154.3693,3147.1363,3162.1547,3136.8998,3158.0769
2023/9/7,3158.0769,3152.2028,3152.2662,3120.8229,3122.3523
2023/9/8,3122.3523,3114.2296,3126.0412,3104.6743,3116.7191
2023/9/11,3116.7191,3119.6101,3155.1026,3113.8164,3142.779
2023/9/12,3142.779,3140.3409,3147.5141,3134.3176,3137.0593
2023/9/13,3137.0593,3137.7718,3143.7577,3106.9693,3123.0669
2023/9/14,3123.0669,3124.8482,3135.025,3111.8588,3126.5511
2023/9/15,3126.5511,3133.5883,3141.9642,3107.448,3117.7434
2023/9/18,3117.7434,3110.4404,3128.7009,3098.496,3125.9319
2023/9/19,3125.9319,3123.9862,3131.1298,3113.5254,3124.9567
2023/9/20,3124.9567,3118.6671,3122.1277,3108.1578,3108.5679
2023/9/21,3108.5679,3103.1754,3113.4939,3084.701,3084.701
2023/9/22,3084.701,3084.7567,3132.5578,3078.8007,3132.4316
2023/9/25,3132.4316,3131.2079,3131.2079,3112.1505,3115.6071
2023/9/26,3115.6071,3114.0214,3120.2889,3102.2726,3102.2726
2023/9/27,3102.2726,3104.0395,3125.447,3103.8441,3107.3156
2023/9/28,3107.3156,3117.7549,3121.8352,3105.9397,3110.4753
2023/10/9,3110.4753,3099.9998,3103.3597,3072.6418,3096.9224
2023/10/10,3096.9224,3104.3651,3109.9822,3073.1864,3075.2361
2023/10/11,3075.2361,3085.6989,3095.6594,3071.936,3078.9556
2023/10/12,3078.9556,3101.7051,3109.9898,3092.1771,3107.9007
2023/10/13,3107.9007,3091.9972,3094.9153,3080.5481,3088.0991
2023/10/16,3088.0991,3091.0647,3091.1257,3063.6856,3073.813
2023/10/17,3073.813,3076.4283,3084.0725,3064.8897,3083.4964
